,Unnamed: 0,isbn,book_title,book_author,year_of_publication,publisher,img_m,Summary,Language,Category
8442,8442,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998.0,Pocket,http://images.amazon.com/images/P/0671867156.01.MZZZZZZZ.jpg,"Placed in the federal witness protection program after seeing a
murder, Manhattan real-estate agent Lacey Farrell nevertheless must
solve the case before she becomes the next victim",en,Fiction
8615,8615,0312252617,Fast Women,Jennifer Crusie,2001.0,St. Martin's Press,http://images.amazon.com/images/P/0312252617.01.MZZZZZZZ.jpg,"Following her divorce, Nell Dysart takes a job working for a detective
agency and finds herself knee deep in embezzlement, bribery,
blackmail, arson, adultery, murder, and passion with her boss, Gabe
McKenna. 75,000 first printing.",en,Fiction
8633,8633,0312261594,Female Intelligence,Jane Heller,2001.0,St. Martin's Press,http://images.amazon.com/images/P/0312261594.01.MZZZZZZZ.jpg,9,9,9
8658,8658,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002.0,Back Bay Books,http://images.amazon.com/images/P/0316748641.01.MZZZZZZZ.jpg,"Hailed for its quirkiness and charm, this book tells the story of a
New York City lawyer who runs away to a small Etruscan village with
his wife and baby and discovers a community of eccentrics who make
them feel right at home.",en,Biography & Autobiography
8672,8672,0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002.0,Back Bay Books,http://images.amazon.com/images/P/0316973742.01.MZZZZZZZ.jpg,"A tragic love affair unfolding in Fascist-dominated Rome during World
War II. These are the elements of a magnificent literary entertainment
-- a novel that resonates with tales of love and betrayal as it deals
profoundly with questions of ...",en,Fiction
8677,8677,0385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,1987.0,Doubleday Books,http://images.amazon.com/images/P/0385235941.01.MZZZZZZZ.jpg,9,9,9
8678,8678,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000.0,Warner Books,http://images.amazon.com/images/P/0446677450.01.MZZZZZZZ.jpg,9,9,9
8742,8742,0451166892,The Pillars of the Earth,Ken Follett,1996.0,Signet Book,http://images.amazon.com/images/P/0451166892.01.MZZZZZZZ.jpg,"Set in twelfth-century England, this epic of kings and peasants
juxtaposes the building of a magnificent church with the violence and
treachery that often characterized the Middle Ages. Reissue.",en,Fiction
8970,8970,0553347594,McDonald's: Behind the Arches,John F. Love,1995.0,Bantam,http://images.amazon.com/images/P/0553347594.01.MZZZZZZZ.jpg,"Discusses the people, the strategies, and the innovations that turned
a hamburger stand into a multi-billion-dollar corporation that
revolutionized an industry and influenced the culture of America.",en,Business & Economics
8975,8975,0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986.0,Fireside,http://images.amazon.com/images/P/0671621009.01.MZZZZZZZ.jpg,"Discusses principles for creating wealth includes: a wealthy mindset,
an automatic pilot principle, and a win/win philosophy principle.",en,Business & Economics
8977,8977,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995.0,Vintage,http://images.amazon.com/images/P/067976397X.01.MZZZZZZZ.jpg,"The idyllic world of the Greek island of Cephallonia is forever
changed by the inexorable changes of World War II, as the inhabitants
struggle to cope with the Axis invasion and occupation",en,Fiction
9095,9095,0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996.0,Fireside,http://images.amazon.com/images/P/0684822733.01.MZZZZZZZ.jpg,9,9,9
9096,9096,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003.0,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,"With a timeless tale, appealing to all, this is a book that readers of
fine fiction, and those who loved Tuesdays with Morrie, will treasure.",en,Fiction
9523,9523,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002.0,Tusquets,http://images.amazon.com/images/P/8472238822.01.MZZZZZZZ.jpg,9,9,9
9525,9525,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992.0,Star Trek,http://images.amazon.com/images/P/0671864769.01.MZZZZZZZ.jpg,"The starship Enterprise rescues Captain Montgomery Scott, who has been
missing in space for seventy-five years and finds that the world has
changed beyond his recognition",en,Fiction
9544,9544,0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995.0,Pocket,http://images.amazon.com/images/P/0671521519.01.MZZZZZZZ.jpg,9,9,9
9548,9548,0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996.0,Dell,http://images.amazon.com/images/P/0440222303.01.MZZZZZZZ.jpg,"When conflicts between rivaling cultures aboard Babylon 5 escalate to
riotous proportions, security chief Garibaldi discovers a link between
a station-wide epidemic in nightmares and a strange alien presence.
Original.",en,Fiction
9553,9553,0312953453,Blood Oath,David Morrell,1994.0,St. Martin's Press,http://images.amazon.com/images/P/0312953453.01.MZZZZZZZ.jpg,9,9,9
9564,9564,0446608653,The Alibi,Sandra Brown,2000.0,Warner Books,http://images.amazon.com/images/P/0446608653.01.MZZZZZZZ.jpg,"In this suspenseful Southern thriller and #1 New York Times
bestseller, an ambitious prosecutor investigates a high-stakes case
after Charleston&#39;s most powerful real estate magnate is murdered.",en,Fiction
9644,9644,0446612545,The Beach House,James Patterson,2003.0,Warner Books,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg,9,9,9
9907,9907,0446612618,A Kiss Remembered,Sandra Brown,2003.0,Warner Books,http://images.amazon.com/images/P/0446612618.01.MZZZZZZZ.jpg,9,9,9
9930,9930,0451208080,The Short Forever,Stuart Woods,2003.0,Signet Book,http://images.amazon.com/images/P/0451208080.01.MZZZZZZZ.jpg,"Arriving in London to find a young woman, who has been seen in the
company of an unsavory gentleman, for a client, Stone Barrington
stumbles upon a deadly rivalry between two spies and is implicated in
a horrifying double murder.",en,Fiction
9967,9967,0553584383,Dead Aim,IRIS JOHANSEN,2004.0,Bantam Books,http://images.amazon.com/images/P/0553584383.01.MZZZZZZZ.jpg,"During a gut-wrenching assignment photographing a disaster,
photojournalist Alex Graham begins to suspect that the
&quot;natural&quot; catastrophe had really been a case of premeditated
mass murder, but when the former military assassin assigned to ...",en,Fiction
10022,10022,0671027360,Angels & Demons,Dan Brown,2001.0,Pocket Star,http://images.amazon.com/images/P/0671027360.01.MZZZZZZZ.jpg,9,9,9
10608,10608,0812575954,The Deal,Joe Hutsko,2000.0,Tor Books (Mm),http://images.amazon.com/images/P/0812575954.01.MZZZZZZZ.jpg,9,9,9
10616,10616,0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004.0,Back Bay Books,http://images.amazon.com/images/P/0316735736.01.MZZZZZZZ.jpg,"Written with the intelligence and grace that are the hallmarks of
Anita Shreve&#39;s bestselling novels, this gripping tale of desire,
jealousy, and loss is peopled by unforgettable characters as real as
the emotions that bring them together.",en,Fiction
10648,10648,0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002.0,Pocket,http://images.amazon.com/images/P/0743439740.01.MZZZZZZZ.jpg,9,9,9
10742,10742,0345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,1991.0,Ballantine Books,http://images.amazon.com/images/P/0345372700.01.MZZZZZZZ.jpg,"&quot;Lewis Grizzard is one of America&#39;s zaniest writers.&quot;
THE ORLANDO SENTINEL Funny, sad, outrageous, irresistible, and
unforgettably true, here is Lewis Grizzard&#39;s one-way, non-stop
climb to the top of the newspaper heap.",en,Humor
10745,10745,0380619458,The Mosquito Coast,Paul Theroux,1990.0,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380619458.01.MZZZZZZZ.jpg,"An eccentric American inventor moves his family to the jungles of
Central America in hopes of finding a better life",en,Americans
10799,10799,0446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,1994.0,Warner Books (Mm),http://images.amazon.com/images/P/0446325805.01.MZZZZZZZ.jpg,9,9,9
10805,10805,0451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,1996.0,Onyx Books,http://images.amazon.com/images/P/0451406923.01.MZZZZZZZ.jpg,"&quot;The true story of a murderous mother and five innocent
victims.&quot; - from front cover.",en,Infanticide
10809,10809,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000.0,Pocket,http://images.amazon.com/images/P/0671042858.01.MZZZZZZZ.jpg,9,9,9
11023,11023,0143034359,Thursday Next in the Well Of Lost Plots (Thursday Next Novels (Penguin Books)),Fforde Jasper,2004.0,Penguin Books,http://images.amazon.com/images/P/0143034359.01.MZZZZZZZ.jpg,"Exhausted by her stint as Miss Havisham&#39;s apprentice at
Jurisfiction, Thursday Next is delighted by a respite in the Character
Exchange Program in the Well of Lost Plots, a place filled with
linguistic chaos, lousy books, and a murderer.",en,Fiction
11026,11026,0316778508,The Dogs of Babel : A Novel,Carolyn Parkhurst,2004.0,Back Bay Books,http://images.amazon.com/images/P/0316778508.01.MZZZZZZZ.jpg,9,9,9
11036,11036,0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003.0,Free Press,http://images.amazon.com/images/P/0743249992.01.MZZZZZZZ.jpg,"Recounts the story of how a notorious gang of MIT blackjack savants
devised and received backing for a system for winning at the
world&#39;s most sophisticated casinos, an endeavor that earned them
more than three million dollars.",en,Biography & Autobiography
11051,11051,0840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,1992.0,Thomas Nelson Inc,http://images.amazon.com/images/P/0840734530.01.MZZZZZZZ.jpg,"This enchanting work of fantasy leads readers on a stirring quest
through enchanted lands with the hapless but good-hearted King Quad.",en,Fiction
11053,11053,0425184226,The Sum of All Fears,Tom Clancy,2002.0,Berkley Publishing Group,http://images.amazon.com/images/P/0425184226.01.MZZZZZZZ.jpg,"Peace may finally be at hand in the Middle East - as Deputy Director
of the CIA Jack Ryan lays the groundwork for a peace plan that could
end centuries of conflict.",en,Fiction
11174,11174,0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999.0,Random House,http://images.amazon.com/images/P/0375500766.01.MZZZZZZZ.jpg,"But Care Packages is not only about the &quot;strangers and other
friends&quot; who have had such a profound effect on the Reeves.With
an introduction to each chapter by Dana Reeve, it is also the story of
a marriage and a family facing the ultimate ...",en,Biography & Autobiography
11187,11187,9724119378,O Deus Das Pequenas Coisas,Roy,1998.0,Edicoes Asa,http://images.amazon.com/images/P/9724119378.01.MZZZZZZZ.jpg,9,9,9
11197,11197,0451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,2002.0,Signet Book,http://images.amazon.com/images/P/0451205197.01.MZZZZZZZ.jpg,9,9,9
11203,11203,0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998.0,Perennial,http://images.amazon.com/images/P/0060929790.01.MZZZZZZZ.jpg,"The rise and fall, birth and death, of the mythical town of Macondo
through the history of the Buenda family.",en,Fiction
11285,11285,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg,"Don&#39;t miss Little Altars Everywhere, the New York Times
bestselling companion novel that introduces the Ya-Yas and is also a
basis for the film.",en,Fiction
11719,11719,0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992.0,HarperTorch,http://images.amazon.com/images/P/0061099325.01.MZZZZZZZ.jpg,"Jim Chee is torn between his role as the prosecution&#39;s star
witness against the man charged with killing his best friend and his
own investigation of the crime. Reprint",en,Fiction
11790,11790,0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001.0,Pocket,http://images.amazon.com/images/P/0671004573.01.MZZZZZZZ.jpg,9,9,9
11966,11966,0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994.0,Warner Books,http://images.amazon.com/images/P/0446601640.01.MZZZZZZZ.jpg,"Restless loner and motorcycle rider Michael Tillman is unable to
resist his powerful feelings for Jellie Braden, a free spirit trapped
in a passionless marriage. By the author of The Bridges of Madison
County. Reprint.",en,Fiction
12044,12044,0330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,2001.0,Pan Macmillan,http://images.amazon.com/images/P/0330484516.01.MZZZZZZZ.jpg,9,9,9
12045,12045,038572179X,Atonement : A Novel,IAN MCEWAN,2003.0,Anchor,http://images.amazon.com/images/P/038572179X.01.MZZZZZZZ.jpg,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event
involving her sister Cecilia and her childhood friend Robbie Turner,
and she becomes the victim of her own imagination, which leads her on
a lifelong search for truth and ...",en,Fiction
12223,12223,0393020371,Next: The Future Just Happened,Michael Lewis,2001.0,W.W. Norton & Company,http://images.amazon.com/images/P/0393020371.01.MZZZZZZZ.jpg,9,9,9
12230,12230,1900850303,The Angelic Darkness,Richard Zimler,1999.0,Arcadia Books,http://images.amazon.com/images/P/1900850303.01.MZZZZZZZ.jpg,"With The Angelic Darkness, Zimler returns with a haunting story of
eroticism and redemption, a novel whose hypnotic combination of the
ordinary with the fantastic, the mundane with the mythological, evokes
the power of John Fowles&#39;s The ...",en,Cabala
12231,12231,1903019699,The Soulbane Stratagem,Norman Jetmundsen,2000.0,"John Hunt Publishing, Ltd.",http://images.amazon.com/images/P/1903019699.01.MZZZZZZZ.jpg,"An American student attending Oxford travels to a Mediterranean island
and on to America&#39;s deep south comes face to face with a demon.",en,Fiction
12233,12233,0345425294,Gangster,Lorenzo Carcaterra,2002.0,Fawcett Books,http://images.amazon.com/images/P/0345425294.01.MZZZZZZZ.jpg,"By taking Gabe under his wing and teaching him everything he knows,
Angelo Vestieri will learn, in the winter of his life, which is
greater: his love for the boy he cherishes, or his need to be a
gangster and to live by the savage rules he ...",en,Fiction
12251,12251,0451410319,Hush,Anne Frasier,2002.0,Onyx Books,http://images.amazon.com/images/P/0451410319.01.MZZZZZZZ.jpg,"Sixteen years after her own son fell victim to a serial killer,
criminal profiler Ivy Dunlap is called in by the Chicago police to
help them find the Madonna Murderer, an unknown killer who has
returned to stalk the city, and Ivy must ...",en,Fiction
12293,12293,0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0,Bantam Books,http://images.amazon.com/images/P/0553583468.01.MZZZZZZZ.jpg,"As a series of grisly murders terrorizes the small, backwoods town of
Silence, Nell Gallagher, a young woman with special psychic gifts,
holds the power to unravel the mystery, uncover the dark secrets that
could destroy the town, and find ...",en,Fiction
